%time,field.data
1603470058791820365,2863.63647461
1603470058804666852,2795.45458984
1603470058817491970,2795.45458984
1603470058830632491,2931.81811523
1603470058843805846,2931.81811523
1603470058856947294,2863.63647461
1603470058869602024,2795.45458984
1603470058882598084,3000.0
1603470058895525144,3000.0
1603470058909010644,3000.0
1603470058921654226,2863.63647461
1603470058934624249,3000.0
1603470058947570254,3068.18188477
1603470058960771516,3136.36352539
1603470058973619133,3000.0
1603470058986818154,3068.18188477
1603470058999504866,3068.18188477
1603470059012773405,3068.18188477
1603470059025613966,3068.18188477
1603470059038537879,3068.18188477
1603470059051647419,3068.18188477
1603470059064920310,3068.18188477
1603470059077714761,3000.0
1603470059090964744,3068.18188477
1603470059103550697,3000.0
1603470059116741107,3136.36352539
1603470059129622094,3068.18188477
1603470059142846374,3068.18188477
1603470059155494197,2931.81811523
1603470059168722921,3068.18188477
1603470059181775147,3068.18188477
1603470059195066353,3068.18188477
1603470059208325447,2931.81811523
1603470059220721624,2863.63647461
1603470059233705036,3000.0
1603470059246533005,3068.18188477
1603470059259907691,3068.18188477
1603470059272552403,3000.0
1603470059285619592,3068.18188477
1603470059298666318,3068.18188477
1603470059311544897,3068.18188477
1603470059324569568,3136.36352539
1603470059337604813,3000.0
1603470059350508911,3068.18188477
1603470059363487879,3136.36352539
1603470059376572642,3068.18188477
1603470059389679497,3068.18188477
1603470059402756389,3068.18188477
1603470059415774301,3000.0
1603470059428576233,3000.0
1603470059441606126,3068.18188477
1603470059454637779,3068.18188477
1603470059467491710,3068.18188477
1603470059480738953,3136.36352539
1603470059493555052,3000.0
1603470059506499890,3068.18188477
1603470059519523691,3068.18188477
1603470059532840192,3068.18188477
1603470059545965047,3000.0
1603470059558725943,3000.0
1603470059571983074,3000.0
1603470059585157151,2931.81811523
1603470059597555976,2931.81811523
1603470059610870255,3068.18188477
1603470059623690558,3000.0
1603470059636594322,3068.18188477
1603470059649540809,3068.18188477
1603470059662618572,3136.36352539
1603470059685585980,3068.18188477
1603470059688857319,2863.63647461
1603470059701651048,3000.0
1603470059715290046,3068.18188477
1603470059727509021,2931.81811523
1603470059740817411,3136.36352539
1603470059754209079,3000.0
1603470059766653014,2863.63647461
1603470059779777980,3068.18188477
1603470059792670190,3068.18188477
1603470059805834081,3068.18188477
1603470059818570385,3068.18188477
1603470059832235438,3136.36352539
1603470059844759984,2863.63647461
1603470059858085541,3000.0
1603470059871649262,3136.36352539
1603470059884535694,3000.0
1603470059897684623,3136.36352539
1603470059910493981,3068.18188477
1603470059923672798,3068.18188477
1603470059936588822,3000.0
1603470059949944323,3000.0
1603470059962488999,2931.81811523
1603470059975861833,3068.18188477
1603470059988845078,3000.0
1603470060001746972,3000.0
1603470060014639422,3000.0
1603470060027854813,3000.0
1603470060040673338,3000.0
1603470060053850007,3068.18188477
1603470060066705402,3000.0
1603470060079757332,3000.0
1603470060092593930,3000.0
1603470060105529676,3068.18188477
1603470060118617476,3068.18188477
1603470060131733590,3000.0
1603470060144577355,3000.0
1603470060157561193,3068.18188477
1603470060170590957,3000.0
1603470060183528480,3136.36352539
1603470060196758519,3136.36352539
1603470060209680858,3068.18188477
1603470060223043877,3000.0
1603470060235601367,2931.81811523
1603470060248548687,3068.18188477
1603470060261705912,3068.18188477
1603470060274610417,3000.0
1603470060287585533,3136.36352539
1603470060300529631,3068.18188477
1603470060313535079,3136.36352539
1603470060326760433,3068.18188477
1603470060339771197,3000.0
1603470060353047439,3000.0
1603470060365725354,2931.81811523
1603470060378589305,3000.0
1603470060391853880,3068.18188477
1603470060404593702,3068.18188477
1603470060417645373,3068.18188477
1603470060430575452,3068.18188477
1603470060443859157,3000.0
1603470060457277306,3000.0
1603470060469551373,2863.63647461
1603470060482810263,3000.0
1603470060495505530,2931.81811523
1603470060509088843,3000.0
1603470060521657389,2795.45458984
1603470060534528932,2931.81811523
1603470060547541677,2863.63647461
1603470060560900233,2795.45458984
1603470060573579204,2727.27270508
1603470060586567338,2795.45458984
1603470060599814673,2795.45458984
1603470060612822585,2727.27270508
1603470060625668998,2727.27270508
1603470060638834834,2659.09082031
1603470060651675507,2727.27270508
1603470060665617335,2590.90917969
1603470060678752653,2659.09082031
1603470060691515401,2590.90917969
1603470060704825735,2659.09082031
1603470060717873517,2522.72729492
1603470060731044186,2522.72729492
1603470060743896470,2454.54541016
1603470060757005659,2454.54541016
1603470060769798665,2386.36352539
1603470060783141147,2386.36352539
1603470060795531991,2250.0
1603470060808801456,2454.54541016
1603470060822061754,2386.36352539
1603470060834906093,2250.0
1603470060847685692,2250.0
1603470060861098544,2386.36352539
1603470060874156363,2181.81811523
1603470060886508892,2181.81811523
1603470060899643895,2318.18188477
1603470060912844250,2318.18188477
1603470060925764070,2250.0
1603470060938685001,2318.18188477
1603470060951671635,2318.18188477
1603470060965105172,2318.18188477
1603470060977627385,2181.81811523
1603470060990698518,2318.18188477
1603470061003540265,2250.0
1603470061016634564,2386.36352539
1603470061029911307,2318.18188477
1603470061042813423,2318.18188477
1603470061055757058,2318.18188477
1603470061068544509,2318.18188477
1603470061081554068,2454.54541016
1603470061094547073,2386.36352539
1603470061107659669,2386.36352539
1603470061120697895,2318.18188477
1603470061133606437,2386.36352539
1603470061146638052,2454.54541016
1603470061159496799,2386.36352539
1603470061172710634,2386.36352539
1603470061185730323,2318.18188477
1603470061198729106,2318.18188477
1603470061211886849,2386.36352539
1603470061224555042,2250.0
1603470061237813025,2386.36352539
1603470061250510643,2250.0
1603470061263627202,2386.36352539
1603470061276864315,2386.36352539
1603470061289582285,2250.0
1603470061302975971,2386.36352539
1603470061315496887,2318.18188477
1603470061328516132,2454.54541016
1603470061341590580,2318.18188477
1603470061354535956,2386.36352539
1603470061367638885,2386.36352539
1603470061380832406,2386.36352539
1603470061393533469,2318.18188477
1603470061406482233,2318.18188477
1603470061419464385,2386.36352539
1603470061432753091,2386.36352539
1603470061445684910,2318.18188477
1603470061458517546,2386.36352539
1603470061471760048,2386.36352539
1603470061484590776,2250.0
1603470061497702113,2386.36352539
1603470061510632099,2386.36352539
1603470061523641344,2318.18188477
1603470061536761496,2386.36352539
1603470061549660390,2318.18188477
1603470061562639172,2386.36352539
1603470061575520937,2386.36352539
1603470061588718939,2386.36352539
1603470061602211994,2318.18188477
1603470061614605190,2250.0
1603470061627750896,2386.36352539
1603470061640847770,2386.36352539
1603470061653808497,2386.36352539
1603470061666936037,2318.18188477
1603470061679714470,2386.36352539
1603470061692548531,2386.36352539
1603470061705784292,2386.36352539
1603470061718728408,2318.18188477
1603470061732251833,2386.36352539
1603470061744863175,2250.0
1603470061758093288,2318.18188477
1603470061770624704,2318.18188477
1603470061783496210,2386.36352539
1603470061796711953,2386.36352539
1603470061809738420,2386.36352539
1603470061822628444,2386.36352539
1603470061835520708,2386.36352539
1603470061848605823,2454.54541016
1603470061861730011,2454.54541016
1603470061874949606,2386.36352539
1603470061887858741,2318.18188477
1603470061900832301,2386.36352539
1603470061913513679,2386.36352539
1603470061926477202,2454.54541016
1603470061939792722,2386.36352539
1603470061952519488,2386.36352539
1603470061965909859,2454.54541016
1603470061979070880,2386.36352539
1603470061991513464,2386.36352539
1603470062004680282,2454.54541016
1603470062017813674,2454.54541016
1603470062030491774,2386.36352539
1603470062043806590,2454.54541016
1603470062056675429,2386.36352539
1603470062069657729,2454.54541016
1603470062082646956,2454.54541016
1603470062095932402,2386.36352539
1603470062108617742,2318.18188477
1603470062121795727,2454.54541016
1603470062134668454,2386.36352539
1603470062147601552,2454.54541016
1603470062160626019,2454.54541016
1603470062173536931,2454.54541016
1603470062186530102,2386.36352539
1603470062200034120,2454.54541016
1603470062212625147,2318.18188477
1603470062225585837,2454.54541016
1603470062238887523,2454.54541016
1603470062251723177,2318.18188477
1603470062264644479,2386.36352539
1603470062278040146,2454.54541016
1603470062290661987,2318.18188477
1603470062303539807,2454.54541016
1603470062316940141,2454.54541016
1603470062329691740,2386.36352539
1603470062342640041,2454.54541016
1603470062355657527,2454.54541016
1603470062368970991,2386.36352539
1603470062381610332,2386.36352539
1603470062394506930,2454.54541016
1603470062407654285,2454.54541016
1603470062420672752,2454.54541016
1603470062433653682,2454.54541016
1603470062446827296,2454.54541016
1603470062459519637,2386.36352539
1603470062472685250,2386.36352539
1603470062485946308,2386.36352539
1603470062498642278,2250.0
1603470062511498710,2318.18188477
1603470062524749952,2318.18188477
1603470062537790771,2250.0
1603470062550591221,2113.63647461
1603470062564081110,2181.81811523
1603470062576832080,2045.45458984
1603470062589786751,2045.45458984
1603470062602732904,1977.27270508
1603470062615671316,1977.27270508
1603470062629154668,1909.09094238
1603470062641691843,1840.90905762
1603470062654769439,1909.09094238
1603470062667576630,1840.90905762
1603470062680976279,1909.09094238
1603470062693671286,1840.90905762
1603470062706510551,1840.90905762
